year,State,State Minimum Wage,Effective Minimum Wage,Median Household Income
2000,Wisconsin,7.74,7.74,45088
2000,Wyoming,2.4,7.74,39629
2001,Alabama,0,7.52,35160
2001,Alaska,8.25,8.25,57363
2001,Arizona,0,7.52,42704
2001,Arkansas,7.52,7.52,33339
2001,California,9.13,9.13,47262
2001,Colorado,7.52,7.52,49397
2001,Connecticut,9.35,9.35,53347
2001,Delaware,8.98,8.98,49602
2001,District of Columbia,8.98,8.98,41169
2001,Florida,0,7.52,36421
2001,Georgia,4.75,7.52,42576
2001,Hawaii,7.67,7.67,47439
2001,Idaho,7.52,7.52,38241
2001,Illinois,7.52,7.52,46171
2001,Indiana,7.52,7.52,40379
2001,Iowa,7.52,7.52,40976
2001,Kansas,3.87,7.52,41415
2001,Kentucky,7.52,7.52,38437
2001,Louisiana,0,7.52,33322
2001,Maine,7.52,7.52,36612
2001,Maryland,7.52,7.52,53530
2001,Massachusetts,9.86,9.86,52253
2001,Michigan,7.52,7.52,45047
2001,Minnesota,7.16,7.52,52681
2001,Mississippi,0,7.52,30161
2001,Missouri,7.52,7.52,41339
2001,Montana,5.84,7.52,32126
2001,Nebraska,7.52,7.52,43611
2001,Nevada,7.52,7.52,45403
2001,New Hampshire,7.52,7.52,51331
2001,New Jersey,7.52,7.52,51771
2001,New Mexico,6.21,7.52,33124
2001,New York,7.52,7.52,42114
2001,North Carolina,7.52,7.52,38162
2001,North Dakota,7.52,7.52,35793
2001,Ohio,4.09,7.52,41785
2001,Oklahoma,2.92,7.52,35609
2001,Oregon,9.49,9.49,41273
2001,Pennsylvania,7.52,7.52,43499
2001,Rhode Island,8.98,8.98,45723
2001,South Carolina,0,7.52,37736
2001,South Dakota,7.52,7.52,39671
2001,Tennessee,0,7.52,35783
2001,Texas,4.89,7.52,40860
2001,Utah,7.52,7.52,47342
2001,Vermont,9.13,9.13,40794
2001,Virginia,7.52,7.52,50241
2001,Washington,9.81,9.81,42490
2001,West Virginia,7.52,7.52,29673
2001,Wisconsin,7.52,7.52,45346
2001,Wyoming,2.34,7.52,39719
2002,Alabama,0,7.4,37603
2002,Alaska,8.12,8.12,52774
2002,Arizona,0,7.4,39734
2002,Arkansas,7.4,7.4,32387
2002,California,9.71,9.71,47437
2002,Colorado,7.4,7.4,48294
2002,Connecticut,9.63,9.63,53387
2002,Delaware,8.84,8.84,49650
2002,District of Columbia,8.84,8.84,39070
2002,Florida,0,7.4,38024
2002,Georgia,7.4,7.4,42939
2002,Hawaii,8.27,8.27,47303
2002,Idaho,7.4,7.4,37715
2002,Illinois,7.4,7.4,42710
2002,Indiana,7.4,7.4,41047
2002,Iowa,7.4,7.4,41049
2002,Kansas,3.81,7.4,42619
2002,Kentucky,7.4,7.4,36762
2002,Louisiana,0,7.4,34008
2002,Maine,8.27,8.27,36853
2002,Maryland,7.4,7.4,56407
2002,Massachusetts,9.71,9.71,49855
2002,Michigan,7.4,7.4,42715
2002,Minnesota,7.05,7.4,54622
2002,Mississippi,0,7.4,30882
2002,Missouri,7.4,7.4,42776
2002,Montana,5.75,7.4,34835
2002,Nebraska,7.4,7.4,42796
2002,Nevada,7.4,7.4,44958
2002,New Hampshire,7.4,7.4,55321
2002,New Jersey,7.4,7.4,54568
2002,New Mexico,6.11,7.4,35457
2002,New York,7.4,7.4,41966
2002,North Carolina,7.4,7.4,36515
2002,North Dakota,7.4,7.4,36200
2002,Ohio,4.03,7.4,42684
2002,Oklahoma,2.88,7.4,36458
2002,Oregon,9.35,9.35,41802
2002,Pennsylvania,7.4,7.4,42498
2002,Rhode Island,8.84,8.84,42417
2002,South Carolina,0,7.4,37812
2002,South Dakota,7.4,7.4,37873
2002,Tennessee,0,7.4,37030
2002,Texas,7.4,7.4,40149
2002,Utah,7.4,7.4,47861
2002,Vermont,8.99,8.99,42999
2002,Virginia,7.4,7.4,49631
2002,Washington,9.92,9.92,45183
2002,West Virginia,7.4,7.4,29359
2002,Wisconsin,7.4,7.4,45903
2002,Wyoming,7.4,7.4,39763
2003,Alabama,0,7.24,37255
2003,Alaska,10.05,10.05,51837
2003,Arizona,0,7.24,41166
2003,Arkansas,7.24,7.24,32002
2003,California,9.49,9.49,49300
2003,Colorado,7.24,7.24,49940
2003,Connecticut,9.7,9.7,54965
2003,Delaware,8.65,8.65,49019
2003,District of Columbia,8.65,8.65,45044
2003,Florida,0,7.24,38972
2003,Georgia,7.24,7.24,42438
2003,Hawaii,8.79,8.79,51834
2003,Idaho,7.24,7.24,42372
2003,Illinois,7.24,7.24,45153
2003,Indiana,7.24,7.24,42425
2003,Iowa,7.24,7.24,41384
